Title,Authors,Category,Reference
Scattering Amplitudes in Quantum Field Theory,"Simon Badger,  Johannes Henn,  Jan Plefka,  Simone Zoia",hep-th,2306.05976
Physics of the Analytic S-Matrix,Sebastian Mizera,hep-th,2306.05395
An introduction to the analysis of gradients systems,Alexander Mielke,math-ph,2306.05026
Six lectures on Geometric Quantization,Konstantin Wernli,math-ph,2306.00178
Madelung transform and variational asymptotics in Born-Oppenheimer molecular dynamics,"Paul Bergold,  Cesare Tronci",math-ph,2305.18972
Introduction to Loop Quantum Gravity: Rovelli's lectures on LQG,Pietropaolo Frisoni,gr-qc,2305.12215
Beginners lectures on flux compactifications and related Swampland topics,"Thomas Van Riet,  Gianluca Zoccarato",hep-th,2305.01722
TASI Lectures: (No) Global Symmetries to Axion Physics,Matthew Reece,hep-ph,2304.08512
Quantum Mechanics Lecture Notes. Selected Chapters,Shimon Levit,quant-ph,2304.04247
Scalar CFTs from structural phase transitions,Junchen Rong,hep-th,2303.12028
The physics of gravitational waves,Enrico Barausse,gr-qc,2303.11713
Basic ZX-calculus for students and professionals,Bob Coecke,quant-ph,2303.03163
TASI Lectures on the Particle Physics and Astrophysics of Dark Matter,Benjamin R. Safdi,hep-ph,2303.02169
Lagrangian trajectories and closure models in mixed quantum-classical dynamics,"Cesare Tronci,  François Gay-Balmaz",math-ph,2303.01975
Representation theory in the construction of free quantum field,Zixuan Feng,math-ph,2302.13808
Relativity,"Camilo Arias Abad,  Alexander Quintero Velez,  Juan Diego Velez Caicedo",gr-qc,2301.13625
String Field Theory -- A Modern Introduction,Harold Erbin,hep-th,2301.01686
Lecture Notes on Quantum Algorithms,Kamil Khadiev,quant-ph,2212.14205
From Asymptotic Symmetries to the Corner Proposal,Luca Ciambelli,hep-th,2212.13644
Lectures on the string landscape and the Swampland,"Nathan Benjamin Agmon,  Alek Bedroya,  Monica Jinwoo Kang,  Cumrun Vafa",hep-th,2212.06187
Mesons on the light front,Meijian Li,hep-ph,2212.05100
The WIMP Paradigm: Theme and Variations,Jonathan L. Feng,hep-ph,2212.02479
Quantum field theory and the structure of the Standard Model,"José Ignacio Illana,  Alejandro Jiménez Cano",hep-ph,2211.14636
